,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
140,2022-08-03,126.37506957429744,113.88584540601623,136.26212432576887,126.37506957429744,126.37506957429744,-1.141512676208121,-1.141512676208121,-1.141512676208121,-1.141512676208121,-1.141512676208121,-1.141512676208121,0.0,0.0,0.0,125.23355689808932
141,2022-08-04,126.58290327766785,113.92503190688485,136.6453247158142,126.58290327766785,126.58290327766785,-1.3918742917430422,-1.3918742917430422,-1.3918742917430422,-1.3918742917430422,-1.3918742917430422,-1.3918742917430422,0.0,0.0,0.0,125.19102898592482
142,2022-08-05,126.79073698103828,113.64995798465627,135.39589228174702,126.79073698103828,126.79073698103828,-1.794238592975846,-1.794238592975846,-1.794238592975846,-1.794238592975846,-1.794238592975846,-1.794238592975846,0.0,0.0,0.0,124.99649838806243
143,2022-08-08,127.41423809114951,114.54237362178424,138.1519997666606,127.41423809114951,127.41423809114951,-0.8700856827944884,-0.8700856827944884,-0.8700856827944884,-0.8700856827944884,-0.8700856827944884,-0.8700856827944884,0.0,0.0,0.0,126.54415240835503
144,2022-08-09,127.62121979584806,114.7786436742726,137.44598753329143,127.62121979584806,127.62121979584806,-1.1778513325108544,-1.1778513325108544,-1.1778513325108544,-1.1778513325108544,-1.1778513325108544,-1.1778513325108544,0.0,0.0,0.0,126.44336846333721
145,2022-08-10,127.82820150054664,114.78910177002385,137.74372697439614,127.82820150054664,127.82820150054664,-1.1415126762098569,-1.1415126762098569,-1.1415126762098569,-1.1415126762098569,-1.1415126762098569,-1.1415126762098569,0.0,0.0,0.0,126.68668882433678
146,2022-08-11,128.03518320524518,115.03633784050298,138.0612230235977,128.03518320524518,128.03518320524518,-1.3918742917437386,-1.3918742917437386,-1.3918742917437386,-1.3918742917437386,-1.3918742917437386,-1.3918742917437386,0.0,0.0,0.0,126.64330891350144
147,2022-08-12,128.2421649099437,114.22265016215977,138.0442141209371,128.2421649099437,128.2421649099437,-1.7942385929883493,-1.7942385929883493,-1.7942385929883493,-1.7942385929883493,-1.7942385929883493,-1.7942385929883493,0.0,0.0,0.0,126.44792631695536
148,2022-08-15,128.86311002403934,116.63132126805145,139.73238785411894,128.86311002403934,128.86311002403934,-0.8700856827938891,-0.8700856827938891,-0.8700856827938891,-0.8700856827938891,-0.8700856827938891,-0.8700856827938891,0.0,0.0,0.0,127.99302434124546
149,2022-08-16,129.07009172873788,115.18888422360116,139.21791861489808,129.07009172873788,129.07009172873788,-1.177851332509365,-1.177851332509365,-1.177851332509365,-1.177851332509365,-1.177851332509365,-1.177851332509365,0.0,0.0,0.0,127.89224039622852
150,2022-08-17,129.27707343343644,116.41888846965448,139.99988568175164,129.27707343343644,129.27707343343644,-1.141512676208975,-1.141512676208975,-1.141512676208975,-1.141512676208975,-1.141512676208975,-1.141512676208975,0.0,0.0,0.0,128.13556075722747
151,2022-08-18,129.48405513813498,116.98777998868219,139.83491548349735,129.48405513813498,129.48405513813498,-1.3918742917388423,-1.3918742917388423,-1.3918742917388423,-1.3918742917388423,-1.3918742917388423,-1.3918742917388423,0.0,0.0,0.0,128.09218084639613
152,2022-08-19,129.49803216023776,115.71984839957157,139.48882611002225,129.49803216023776,129.49803216023776,-1.794238592983165,-1.794238592983165,-1.794238592983165,-1.794238592983165,-1.794238592983165,-1.794238592983165,0.0,0.0,0.0,127.70379356725459
153,2022-08-22,129.53996322654612,117.91531637603636,140.47079707757675,129.53996322654612,129.53996322654612,-0.8700856827799394,-0.8700856827799394,-0.8700856827799394,-0.8700856827799394,-0.8700856827799394,-0.8700856827799394,0.0,0.0,0.0,128.66987754376618
154,2022-08-23,129.5539402486489,116.8512302094856,139.9510231885146,129.5539402486489,129.5539402486489,-1.1778513325124451,-1.1778513325124451,-1.1778513325124451,-1.1778513325124451,-1.1778513325124451,-1.1778513325124451,0.0,0.0,0.0,128.37608891613647
155,2022-08-24,129.56791727075168,116.62275210064693,140.1579147163706,129.56791727075168,129.56791727075168,-1.141512676209402,-1.141512676209402,-1.141512676209402,-1.141512676209402,-1.141512676209402,-1.141512676209402,0.0,0.0,0.0,128.42640459454228
156,2022-08-25,129.58189429285446,116.94121823085035,139.14839691617792,129.58189429285446,129.58189429285446,-1.3918742917400788,-1.3918742917400788,-1.3918742917400788,-1.3918742917400788,-1.3918742917400788,-1.3918742917400788,0.0,0.0,0.0,128.1900200011144
157,2022-08-26,129.59587131495724,116.015459775497,139.01223404606338,129.59587131495724,129.59587131495724,-1.7942385929825444,-1.7942385929825444,-1.7942385929825444,-1.7942385929825444,-1.7942385929825444,-1.7942385929825444,0.0,0.0,0.0,127.8016327219747
158,2022-08-29,129.6378023812656,117.1204661781984,140.32144397116457,129.6378023812656,129.6378023812656,-0.8700856827832549,-0.8700856827832549,-0.8700856827832549,-0.8700856827832549,-0.8700856827832549,-0.8700856827832549,0.0,0.0,0.0,128.76771669848236
159,2022-08-30,129.65177940336835,116.9391795022844,140.1208999424035,129.65177940336835,129.65177940336835,-1.1778513325109552,-1.1778513325109552,-1.1778513325109552,-1.1778513325109552,-1.1778513325109552,-1.1778513325109552,0.0,0.0,0.0,128.4739280708574
160,2022-08-31,129.42128928528945,116.37688286980482,140.22758604085743,129.42128928528945,129.42128928528945,-1.14151267620852,-1.14151267620852,-1.14151267620852,-1.14151267620852,-1.14151267620852,-1.14151267620852,0.0,0.0,0.0,128.27977660908093
161,2022-09-01,129.19079916721054,115.93038588261852,140.20075739517134,129.19079916721054,129.19079916721054,-1.3918742917413154,-1.3918742917413154,-1.3918742917413154,-1.3918742917413154,-1.3918742917413154,-1.3918742917413154,0.0,0.0,0.0,127.79892487546923
